time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/12/07 19:16:52.010, 116, 171, 147
2022/12/07 19:16:53.515, 125, 179, 136
2022/12/07 19:16:55.021, 129, 187, 134
2022/12/07 19:16:56.526, 121, 169, 135
2022/12/07 19:16:58.031, 95, 175, 154
2022/12/07 19:16:59.537, 120, 179, 137
2022/12/07 19:17:01.043, 108, 179, 134
2022/12/07 19:17:02.548, 129, 180, 140
2022/12/07 19:17:04.054, 127, 167, 146
2022/12/07 19:17:05.559, 113, 194, 143
2022/12/07 19:17:07.065, 118, 193, 141
2022/12/07 19:17:08.571, 117, 194, 140
2022/12/07 19:17:10.077, 128, 173, 135
2022/12/07 19:17:11.582, 114, 172, 133
2022/12/07 19:17:13.087, 113, 188, 137
2022/12/07 19:17:14.593, 129, 188, 148
2022/12/07 19:17:16.099, 126, 171, 150
2022/12/07 19:17:17.604, 117, 183, 142
2022/12/07 19:17:19.110, 116, 179, 141
2022/12/07 19:17:20.616, 135, 159, 155
2022/12/07 19:17:22.122, 130, 172, 147
2022/12/07 19:17:23.627, 128, 187, 164
2022/12/07 19:17:25.133, 122, 178, 150
2022/12/07 19:17:26.638, 123, 188, 130
2022/12/07 19:17:28.144, 132, 179, 145
2022/12/07 19:17:29.650, 124, 184, 141
2022/12/07 19:17:31.155, 111, 178, 146
2022/12/07 19:17:32.661, 137, 201, 160
2022/12/07 19:17:34.167, 124, 193, 139
2022/12/07 19:17:35.673, 125, 166, 158
2022/12/07 19:17:37.179, 115, 168, 144
2022/12/07 19:17:38.685, 133, 184, 126
2022/12/07 19:17:40.191, 138, 186, 154
2022/12/07 19:17:41.697, 126, 198, 153
2022/12/07 19:17:43.203, 119, 187, 137
2022/12/07 19:17:44.709, 116, 176, 132
2022/12/07 19:17:46.215, 127, 175, 147
2022/12/07 19:17:47.721, 125, 182, 138
2022/12/07 19:17:49.226, 108, 178, 142
2022/12/07 19:17:50.733, 137, 180, 140
2022/12/07 19:17:52.239, 107, 176, 134
2022/12/07 19:17:53.744, 117, 192, 137
2022/12/07 19:17:55.251, 129, 180, 156
2022/12/07 19:17:56.756, 116, 172, 135
2022/12/07 19:17:58.262, 118, 163, 174
2022/12/07 19:17:59.768, 129, 188, 135
