time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/12/08 21:31:17.438, 195, 365, 247
2022/12/08 21:31:18.944, 203, 358, 249
2022/12/08 21:31:20.450, 193, 362, 250
2022/12/08 21:31:21.955, 196, 361, 251
2022/12/08 21:31:23.461, 202, 352, 257
2022/12/08 21:31:24.968, 204, 348, 252
2022/12/08 21:31:26.474, 192, 355, 257
2022/12/08 21:31:27.980, 198, 358, 246
2022/12/08 21:31:29.485, 186, 364, 244
2022/12/08 21:31:30.991, 193, 359, 252
2022/12/08 21:31:32.498, 205, 366, 259
2022/12/08 21:31:34.004, 195, 366, 245
2022/12/08 21:31:35.510, 208, 359, 247
2022/12/08 21:31:37.017, 195, 358, 248
2022/12/08 21:31:38.523, 188, 367, 249
2022/12/08 21:31:40.029, 196, 357, 247
2022/12/08 21:31:41.534, 201, 359, 254
2022/12/08 21:31:43.041, 197, 379, 253
2022/12/08 21:31:44.548, 193, 372, 256
2022/12/08 21:31:46.054, 191, 360, 247
2022/12/08 21:31:47.559, 184, 360, 250
2022/12/08 21:31:49.066, 199, 355, 245
2022/12/08 21:31:50.572, 211, 354, 244
2022/12/08 21:31:52.078, 204, 362, 255
2022/12/08 21:31:53.585, 199, 359, 259
2022/12/08 21:31:55.090, 204, 357, 244
2022/12/08 21:31:56.597, 190, 356, 254
2022/12/08 21:31:58.103, 194, 360, 255
2022/12/08 21:31:59.609, 203, 366, 246
2022/12/08 21:32:01.115, 209, 360, 247
2022/12/08 21:32:02.621, 190, 357, 256
2022/12/08 21:32:04.127, 201, 361, 250
2022/12/08 21:32:05.633, 189, 355, 244
2022/12/08 21:32:07.138, 191, 358, 243
2022/12/08 21:32:08.645, 199, 358, 247
2022/12/08 21:32:10.151, 208, 371, 248
2022/12/08 21:32:11.657, 193, 356, 250
2022/12/08 21:32:13.164, 193, 360, 251
2022/12/08 21:32:14.670, 200, 358, 256
2022/12/08 21:32:16.176, 190, 352, 248
2022/12/08 21:32:17.682, 204, 355, 248
2022/12/08 21:32:19.187, 203, 356, 251
2022/12/08 21:32:20.693, 196, 360, 249
2022/12/08 21:32:22.199, 205, 369, 252
2022/12/08 21:32:23.706, 197, 361, 265
2022/12/08 21:32:25.212, 195, 373, 260
2022/12/08 21:32:26.718, 197, 358, 257
2022/12/08 21:32:28.224, 211, 362, 257
2022/12/08 21:32:29.730, 199, 359, 266
2022/12/08 21:32:31.237, 196, 352, 251
