time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/08/17 04:18:38.168, 100, 180, 190
2022/08/17 04:18:39.674, 102, 182, 151
2022/08/17 04:18:41.179, 146, 162, 159
2022/08/17 04:18:42.685, 140, 158, 178
2022/08/17 04:18:44.190, 112, 197, 179
2022/08/17 04:18:45.695, 92, 157, 160
2022/08/17 04:18:47.201, 129, 188, 144
2022/08/17 04:18:48.705, 98, 161, 153
2022/08/17 04:18:50.211, 115, 165, 137
2022/08/17 04:18:51.717, 112, 175, 194
2022/08/17 04:18:53.223, 109, 171, 194
2022/08/17 04:18:54.728, 133, 151, 159
2022/08/17 04:18:56.239, 137, 158, 176
2022/08/17 04:18:57.740, 122, 120, 164
2022/08/17 04:18:59.245, 112, 167, 167
2022/08/17 04:19:00.751, 115, 203, 160
2022/08/17 04:19:02.257, 143, 164, 157
2022/08/17 04:19:03.762, 138, 161, 154
2022/08/17 04:19:05.268, 107, 184, 154
2022/08/17 04:19:06.773, 86, 170, 165
2022/08/17 04:19:08.278, 84, 174, 185
2022/08/17 04:19:09.783, 111, 188, 156
2022/08/17 04:19:11.288, 95, 183, 162
2022/08/17 04:19:12.793, 84, 177, 176
2022/08/17 04:19:14.299, 114, 152, 159
2022/08/17 04:19:15.804, 96, 210, 150
2022/08/17 04:19:17.309, 128, 181, 174
2022/08/17 04:19:18.815, 101, 155, 159
2022/08/17 04:19:20.321, 141, 164, 167
2022/08/17 04:19:21.826, 131, 170, 163
2022/08/17 04:19:23.331, 99, 196, 157
2022/08/17 04:19:24.837, 135, 172, 172
2022/08/17 04:19:26.342, 83, 181, 180
2022/08/17 04:19:27.847, 115, 170, 177
2022/08/17 04:19:29.353, 119, 173, 156
2022/08/17 04:19:30.859, 114, 173, 167
2022/08/17 04:19:32.364, 134, 164, 166
2022/08/17 04:19:33.870, 131, 191, 160
2022/08/17 04:19:35.376, 103, 156, 179
2022/08/17 04:19:36.881, 110, 177, 186
2022/08/17 04:19:38.386, 131, 176, 167
2022/08/17 04:19:39.892, 133, 185, 170
2022/08/17 04:19:41.397, 132, 163, 125
2022/08/17 04:19:42.903, 122, 175, 158
2022/08/17 04:19:44.408, 102, 156, 184
2022/08/17 04:19:45.914, 139, 178, 164
2022/08/17 04:19:47.420, 111, 162, 198
2022/08/17 04:19:48.925, 101, 166, 139
2022/08/17 04:19:50.430, 91, 191, 175
2022/08/17 04:19:51.935, 79, 134, 170
2022/08/17 04:19:53.441, 153, 164, 145
2022/08/17 04:19:54.947, 108, 182, 122
2022/08/17 04:19:56.452, 100, 186, 156
