time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/08/17 14:11:40.957, 89, 94, 87
2022/08/17 14:11:42.462, 97, 117, 109
2022/08/17 14:11:43.965, 96, 97, 63
2022/08/17 14:11:45.470, 90, 115, 103
2022/08/17 14:11:46.975, 101, 100, 68
2022/08/17 14:11:48.481, 138, 104, 106
2022/08/17 14:11:49.984, 53, 84, 67
2022/08/17 14:11:51.488, 75, 80, 119
2022/08/17 14:11:52.992, 124, 95, 85
2022/08/17 14:11:54.496, 94, 110, 89
2022/08/17 14:11:55.000, 95, 129, 66
2022/08/17 14:11:57.504, 92, 126, 93
2022/08/17 14:11:59.008, 101, 67, 88
2022/08/17 14:12:00.512, 54, 117, 82
2022/08/17 14:12:02.017, 126, 119, 92
2022/08/17 14:12:03.522, 93, 151, 109
2022/08/17 14:12:05.025, 97, 98, 77
2022/08/17 14:12:06.529, 127, 94, 90
2022/08/17 14:12:08.034, 83, 107, 107
2022/08/17 14:12:09.538, 86, 130, 37
2022/08/17 14:12:11.043, 76, 106, 121
2022/08/17 14:12:12.547, 74, 138, 87
2022/08/17 14:12:14.052, 104, 104, 73
2022/08/17 14:12:15.556, 90, 103, 85
2022/08/17 14:12:17.060, 64, 123, 82
2022/08/17 14:12:18.566, 141, 117, 124
2022/08/17 14:12:20.070, 86, 69, 102
2022/08/17 14:12:21.576, 112, 102, 119
2022/08/17 14:12:23.080, 92, 106, 108
2022/08/17 14:12:24.584, 106, 93, 90
2022/08/17 14:12:26.089, 103, 107, 76
2022/08/17 14:12:27.593, 82, 81, 97
2022/08/17 14:12:29.098, 72, 144, 118
2022/08/17 14:12:30.602, 117, 95, 117
2022/08/17 14:12:32.108, 128, 109, 123
2022/08/17 14:12:33.614, 110, 116, 108
2022/08/17 14:12:35.119, 105, 110, 102
2022/08/17 14:12:36.623, 100, 99, 90
2022/08/17 14:12:38.127, 102, 109, 94
2022/08/17 14:12:39.632, 130, 113, 58
2022/08/17 14:12:41.136, 103, 99, 97
2022/08/17 14:12:42.640, 97, 121, 78
2022/08/17 14:12:44.145, 80, 125, 123
2022/08/17 14:12:45.650, 82, 143, 115
2022/08/17 14:12:47.155, 112, 130, 95
2022/08/17 14:12:48.660, 81, 121, 110
2022/08/17 14:12:50.163, 77, 131, 74
2022/08/17 14:12:51.668, 84, 135, 106
