time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/08/24 16:38:22.858, 132, 234, 228
2022/08/24 16:38:24.364, 126, 224, 219
2022/08/24 16:38:25.870, 163, 227, 229
2022/08/24 16:38:27.375, 123, 213, 221
2022/08/24 16:38:28.881, 124, 228, 208
2022/08/24 16:38:30.387, 134, 248, 238
2022/08/24 16:38:31.892, 143, 220, 271
2022/08/24 16:38:33.397, 81, 253, 204
2022/08/24 16:38:34.903, 102, 208, 238
2022/08/24 16:38:36.409, 119, 229, 230
2022/08/24 16:38:37.915, 164, 272, 218
2022/08/24 16:38:39.420, 119, 244, 239
2022/08/24 16:38:40.926, 136, 245, 220
2022/08/24 16:38:42.431, 128, 211, 242
2022/08/24 16:38:43.937, 121, 234, 242
2022/08/24 16:38:45.443, 128, 214, 239
2022/08/24 16:38:46.948, 110, 222, 224
2022/08/24 16:38:48.454, 143, 209, 221
2022/08/24 16:38:49.960, 136, 222, 232
2022/08/24 16:38:51.465, 152, 231, 226
2022/08/24 16:38:52.970, 92, 213, 223
2022/08/24 16:38:54.476, 132, 244, 251
2022/08/24 16:38:55.981, 127, 251, 230
2022/08/24 16:38:57.487, 168, 214, 237
2022/08/24 16:38:58.993, 129, 230, 227
2022/08/24 16:39:00.498, 118, 207, 266
2022/08/24 16:39:02.004, 132, 221, 226
2022/08/24 16:39:03.509, 150, 203, 242
2022/08/24 16:39:05.014, 135, 211, 223
2022/08/24 16:39:06.520, 135, 216, 229
2022/08/24 16:39:08.025, 127, 222, 215
2022/08/24 16:39:09.531, 124, 204, 248
2022/08/24 16:39:11.037, 145, 235, 233
2022/08/24 16:39:12.542, 137, 222, 241
2022/08/24 16:39:14.048, 135, 209, 238
2022/08/24 16:39:15.554, 124, 228, 251
2022/08/24 16:39:17.059, 95, 252, 219
2022/08/24 16:39:18.564, 119, 230, 261
2022/08/24 16:39:20.073, 144, 210, 224
2022/08/24 16:39:21.576, 114, 222, 205
2022/08/24 16:39:23.082, 146, 201, 206
2022/08/24 16:39:24.587, 138, 219, 258
2022/08/24 16:39:26.093, 114, 201, 223
2022/08/24 16:39:27.599, 106, 225, 243
2022/08/24 16:39:29.104, 124, 228, 241
2022/08/24 16:39:30.610, 144, 219, 202
2022/08/24 16:39:32.116, 126, 230, 237
2022/08/24 16:39:33.622, 102, 216, 251
2022/08/24 16:39:35.127, 145, 217, 243
2022/08/24 16:39:36.633, 118, 215, 232
2022/08/24 16:39:38.139, 100, 228, 239
2022/08/24 16:39:39.644, 100, 220, 219
2022/08/24 16:39:41.150, 155, 246, 238
2022/08/24 16:39:42.656, 113, 228, 224
2022/08/24 16:39:44.161, 139, 232, 245
2022/08/24 16:39:45.667, 113, 254, 211
2022/08/24 16:39:47.173, 156, 243, 224
2022/08/24 16:39:48.678, 142, 223, 242
2022/08/24 16:39:50.184, 133, 204, 239
2022/08/24 16:39:51.689, 121, 221, 245
