time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/08/24 16:55:11.816, 111, 323, 305
2022/08/24 16:55:13.322, 164, 321, 300
2022/08/24 16:55:14.828, 135, 334, 284
2022/08/24 16:55:16.334, 136, 284, 302
2022/08/24 16:55:17.840, 132, 303, 333
2022/08/24 16:55:19.346, 195, 296, 350
2022/08/24 16:55:20.852, 150, 304, 314
2022/08/24 16:55:22.358, 168, 278, 328
2022/08/24 16:55:23.864, 155, 292, 318
2022/08/24 16:55:25.370, 181, 267, 311
2022/08/24 16:55:26.876, 178, 286, 324
2022/08/24 16:55:28.382, 153, 280, 326
2022/08/24 16:55:29.888, 133, 336, 311
2022/08/24 16:55:31.394, 115, 301, 298
2022/08/24 16:55:32.900, 121, 298, 310
2022/08/24 16:55:34.406, 155, 278, 295
2022/08/24 16:55:35.912, 159, 267, 317
2022/08/24 16:55:37.418, 178, 285, 324
2022/08/24 16:55:38.924, 133, 267, 323
2022/08/24 16:55:40.430, 173, 287, 340
2022/08/24 16:55:41.936, 188, 266, 312
2022/08/24 16:55:43.442, 145, 273, 301
2022/08/24 16:55:44.949, 139, 277, 312
2022/08/24 16:55:46.455, 148, 286, 313
2022/08/24 16:55:47.961, 158, 286, 310
2022/08/24 16:55:49.467, 169, 311, 308
2022/08/24 16:55:50.973, 174, 279, 298
2022/08/24 16:55:52.479, 171, 308, 302
2022/08/24 16:55:53.985, 118, 329, 296
2022/08/24 16:55:55.491, 157, 300, 278
2022/08/24 16:55:56.997, 181, 291, 330
2022/08/24 16:55:58.502, 163, 314, 313
2022/08/24 16:56:00.008, 126, 299, 338
2022/08/24 16:56:01.513, 132, 246, 324
2022/08/24 16:56:03.019, 154, 294, 286
2022/08/24 16:56:04.525, 156, 313, 306
2022/08/24 16:56:06.031, 146, 295, 288
2022/08/24 16:56:07.537, 137, 308, 315
2022/08/24 16:56:09.043, 154, 289, 327
2022/08/24 16:56:10.549, 145, 281, 273
2022/08/24 16:56:12.055, 170, 299, 299
2022/08/24 16:56:13.561, 132, 298, 281
2022/08/24 16:56:15.067, 162, 292, 357
2022/08/24 16:56:16.573, 140, 310, 313
2022/08/24 16:56:18.079, 152, 283, 316
2022/08/24 16:56:19.585, 131, 282, 316
2022/08/24 16:56:21.091, 156, 301, 337
2022/08/24 16:56:22.597, 161, 293, 290
2022/08/24 16:56:24.103, 154, 271, 323
