time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/05/19 08:21:56.182, 106, 123, 105
2022/05/19 08:21:57.687, 91, 132, 118
2022/05/19 08:21:59.191, 107, 120, 87
2022/05/19 08:22:00.696, 108, 133, 116
2022/05/19 08:22:02.201, 113, 152, 93
2022/05/19 08:22:03.705, 104, 130, 90
2022/05/19 08:22:05.211, 103, 131, 102
2022/05/19 08:22:06.716, 103, 117, 123
2022/05/19 08:22:08.222, 109, 137, 112
2022/05/19 08:22:09.727, 101, 124, 102
2022/05/19 08:22:11.232, 90, 123, 101
2022/05/19 08:22:12.737, 108, 130, 114
2022/05/19 08:22:14.243, 100, 145, 134
2022/05/19 08:22:15.747, 87, 145, 119
2022/05/19 08:22:17.253, 107, 109, 143
2022/05/19 08:22:18.758, 111, 165, 108
2022/05/19 08:22:20.263, 98, 118, 132
2022/05/19 08:22:21.768, 126, 149, 99
2022/05/19 08:22:23.273, 97, 114, 106
2022/05/19 08:22:24.778, 104, 150, 131
2022/05/19 08:22:26.284, 118, 128, 114
2022/05/19 08:22:27.788, 86, 131, 94
2022/05/19 08:22:29.292, 98, 142, 90
2022/05/19 08:22:30.797, 104, 126, 119
2022/05/19 08:22:32.301, 99, 134, 88
2022/05/19 08:22:33.806, 104, 117, 96
2022/05/19 08:22:35.310, 108, 128, 92
2022/05/19 08:22:36.815, 88, 142, 125
2022/05/19 08:22:38.319, 120, 128, 93
2022/05/19 08:22:39.824, 105, 140, 96
2022/05/19 08:22:41.330, 102, 118, 109
2022/05/19 08:22:42.834, 68, 133, 106
2022/05/19 08:22:44.339, 89, 106, 105
2022/05/19 08:22:45.843, 95, 146, 91
2022/05/19 08:22:47.348, 110, 136, 101
2022/05/19 08:22:48.852, 90, 126, 88
2022/05/19 08:22:50.356, 92, 134, 94
2022/05/19 08:22:51.860, 93, 125, 91
2022/05/19 08:22:53.365, 76, 125, 111
2022/05/19 08:22:54.870, 109, 149, 129
2022/05/19 08:22:56.375, 93, 134, 132
2022/05/19 08:22:57.880, 102, 126, 103
2022/05/19 08:22:59.385, 107, 141, 156
2022/05/19 08:23:00.890, 104, 133, 119
2022/05/19 08:23:02.394, 93, 150, 79
2022/05/19 08:23:03.898, 100, 132, 91
2022/05/19 08:23:05.403, 92, 111, 100
2022/05/19 08:23:06.908, 102, 116, 101
2022/05/19 08:23:08.414, 118, 152, 106
2022/05/19 08:23:09.919, 93, 121, 110
2022/05/19 08:23:11.424, 129, 135, 104
2022/05/19 08:23:12.930, 109, 133, 118
2022/05/19 08:23:14.434, 91, 123, 97
2022/05/19 08:23:15.938, 96, 144, 92
2022/05/19 08:23:17.442, 93, 139, 111
2022/05/19 08:23:18.948, 123, 100, 106
2022/05/19 08:23:20.453, 113, 113, 125
