time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/05/19 10:41:03.872, 96, 161, 117
2022/05/19 10:41:05.378, 116, 144, 101
2022/05/19 10:41:06.884, 112, 131, 120
2022/05/19 10:41:08.388, 92, 132, 138
2022/05/19 10:41:09.893, 83, 125, 105
2022/05/19 10:41:11.399, 106, 136, 118
2022/05/19 10:41:12.905, 101, 159, 117
2022/05/19 10:41:14.410, 126, 131, 125
2022/05/19 10:41:15.916, 124, 140, 139
2022/05/19 10:41:17.422, 110, 147, 113
2022/05/19 10:41:18.927, 117, 144, 147
2022/05/19 10:41:20.433, 121, 142, 131
2022/05/19 10:41:21.938, 119, 147, 97
2022/05/19 10:41:23.443, 111, 155, 98
2022/05/19 10:41:24.949, 132, 152, 131
2022/05/19 10:41:26.454, 131, 158, 130
2022/05/19 10:41:27.960, 102, 159, 120
2022/05/19 10:41:29.466, 105, 150, 107
2022/05/19 10:41:30.971, 118, 138, 134
2022/05/19 10:41:32.477, 117, 112, 141
2022/05/19 10:41:33.983, 120, 168, 118
2022/05/19 10:41:35.488, 109, 154, 87
2022/05/19 10:41:36.993, 106, 138, 109
2022/05/19 10:41:38.499, 115, 142, 113
2022/05/19 10:41:40.005, 129, 154, 110
2022/05/19 10:41:41.510, 123, 148, 116
2022/05/19 10:41:43.016, 120, 131, 122
2022/05/19 10:41:44.522, 109, 154, 102
2022/05/19 10:41:46.028, 102, 171, 130
2022/05/19 10:41:47.533, 115, 150, 134
2022/05/19 10:41:49.039, 129, 141, 151
2022/05/19 10:41:50.544, 100, 150, 135
2022/05/19 10:41:52.050, 115, 162, 142
2022/05/19 10:41:53.555, 99, 156, 156
2022/05/19 10:41:55.061, 112, 145, 139
2022/05/19 10:41:56.566, 122, 143, 125
2022/05/19 10:41:58.071, 105, 139, 123
2022/05/19 10:41:59.577, 106, 170, 143
2022/05/19 10:42:01.082, 133, 152, 146
2022/05/19 10:42:02.588, 122, 143, 154
2022/05/19 10:42:04.093, 130, 154, 129
2022/05/19 10:42:05.599, 100, 150, 121
2022/05/19 10:42:07.104, 107, 138, 123
2022/05/19 10:42:08.610, 132, 155, 104
2022/05/19 10:42:10.116, 124, 145, 123
2022/05/19 10:42:11.621, 102, 158, 132
2022/05/19 10:42:13.127, 112, 123, 116
2022/05/19 10:42:14.633, 126, 149, 135
2022/05/19 10:42:16.138, 129, 157, 123
2022/05/19 10:42:17.644, 111, 141, 107
2022/05/19 10:42:19.150, 111, 129, 111
