time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/05/18 22:53:29.932, 143, 199, 177
2022/05/18 22:53:31.438, 137, 209, 173
2022/05/18 22:53:32.944, 137, 222, 171
2022/05/18 22:53:34.450, 138, 239, 171
2022/05/18 22:53:35.956, 149, 208, 170
2022/05/18 22:53:37.462, 140, 223, 192
2022/05/18 22:53:38.967, 141, 218, 190
2022/05/18 22:53:40.473, 155, 208, 181
2022/05/18 22:53:41.979, 139, 220, 191
2022/05/18 22:53:43.485, 152, 223, 193
2022/05/18 22:53:44.991, 148, 213, 168
2022/05/18 22:53:46.497, 139, 240, 188
2022/05/18 22:53:48.003, 143, 218, 157
2022/05/18 22:53:49.509, 144, 229, 182
2022/05/18 22:53:51.015, 152, 222, 201
2022/05/18 22:53:52.521, 124, 218, 178
2022/05/18 22:53:54.027, 165, 226, 183
2022/05/18 22:53:55.533, 134, 217, 191
2022/05/18 22:53:57.039, 142, 212, 203
2022/05/18 22:53:58.545, 149, 217, 166
2022/05/18 22:54:00.051, 140, 228, 173
2022/05/18 22:54:01.556, 147, 224, 181
2022/05/18 22:54:03.062, 152, 221, 183
2022/05/18 22:54:04.568, 135, 211, 159
2022/05/18 22:54:06.073, 146, 240, 187
2022/05/18 22:54:07.579, 135, 235, 176
2022/05/18 22:54:09.085, 154, 214, 196
2022/05/18 22:54:10.591, 158, 211, 189
2022/05/18 22:54:12.098, 157, 206, 184
2022/05/18 22:54:13.604, 137, 212, 146
2022/05/18 22:54:15.109, 145, 224, 186
2022/05/18 22:54:16.615, 135, 247, 174
2022/05/18 22:54:18.121, 149, 234, 195
2022/05/18 22:54:19.627, 138, 191, 187
2022/05/18 22:54:21.133, 133, 215, 182
2022/05/18 22:54:22.639, 140, 235, 180
2022/05/18 22:54:24.145, 133, 240, 185
2022/05/18 22:54:25.651, 146, 204, 183
2022/05/18 22:54:27.157, 162, 207, 177
2022/05/18 22:54:28.685, 113, 227, 185
2022/05/18 22:54:30.169, 141, 202, 203
2022/05/18 22:54:31.688, 148, 246, 176
2022/05/18 22:54:33.181, 146, 218, 182
2022/05/18 22:54:34.687, 133, 218, 187
2022/05/18 22:54:36.193, 160, 226, 180
2022/05/18 22:54:37.699, 158, 249, 170
