time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/05/18 21:54:39.810, 83, 95, 80
2022/05/18 21:54:41.314, 99, 97, 113
2022/05/18 21:54:42.819, 85, 105, 85
2022/05/18 21:54:44.324, 95, 107, 123
2022/05/18 21:54:45.829, 113, 95, 110
2022/05/18 21:54:47.333, 80, 121, 74
2022/05/18 21:54:48.838, 90, 103, 76
2022/05/18 21:54:50.342, 97, 103, 85
2022/05/18 21:54:51.846, 77, 102, 92
2022/05/18 21:54:53.352, 91, 101, 110
2022/05/18 21:54:54.855, 92, 94, 91
2022/05/18 21:54:56.359, 87, 94, 79
2022/05/18 21:54:57.863, 91, 91, 109
2022/05/18 21:54:59.367, 78, 93, 125
2022/05/18 21:55:00.872, 92, 106, 126
2022/05/18 21:55:02.376, 87, 103, 103
2022/05/18 21:55:03.880, 73, 102, 84
2022/05/18 21:55:05.384, 90, 109, 80
2022/05/18 21:55:06.888, 83, 95, 82
2022/05/18 21:55:08.392, 90, 110, 71
2022/05/18 21:55:09.896, 84, 105, 87
2022/05/18 21:55:11.402, 91, 105, 102
2022/05/18 21:55:12.905, 88, 94, 95
2022/05/18 21:55:14.410, 87, 110, 108
2022/05/18 21:55:15.915, 83, 107, 103
2022/05/18 21:55:17.419, 81, 93, 85
2022/05/18 21:55:18.924, 89, 105, 107
2022/05/18 21:55:20.428, 88, 89, 99
2022/05/18 21:55:21.931, 84, 89, 76
2022/05/18 21:55:23.435, 88, 93, 93
2022/05/18 21:55:24.940, 108, 106, 88
2022/05/18 21:55:26.443, 94, 95, 92
2022/05/18 21:55:27.948, 79, 108, 91
2022/05/18 21:55:29.453, 81, 105, 100
2022/05/18 21:55:30.957, 90, 99, 93
2022/05/18 21:55:32.460, 97, 98, 79
2022/05/18 21:55:33.965, 106, 102, 66
2022/05/18 21:55:35.469, 93, 86, 93
2022/05/18 21:55:36.973, 87, 102, 85
2022/05/18 21:55:38.477, 85, 92, 81
2022/05/18 21:55:39.980, 97, 98, 67
2022/05/18 21:55:41.485, 87, 102, 77
2022/05/18 21:55:42.989, 94, 101, 92
2022/05/18 21:55:44.493, 79, 110, 81
2022/05/18 21:55:45.998, 93, 92, 109
2022/05/18 21:55:47.501, 82, 97, 88
2022/05/18 21:55:49.006, 79, 111, 98
