exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc
TP22-13,1,italic('T. Pseudonana'),Culture,1,2022-05-09T08:00:00Z,2022-05-09,08:00:00,2022-11-27,2022-11-27T08:00:00Z,457740,NA,0.7385583964144662,NA,1.503551849539477,NA,1.4844487184637158,NA,1.8526094081360136,NA,1.2484444620072657,NA
TP22-13,1,italic('T. Pseudonana'),Culture,2,2022-05-09T09:00:00Z,2022-05-09,09:00:00,2022-11-27,2022-11-27T09:00:00Z,465066,NA,0.7284396200212916,NA,1.489638066157425,NA,1.4769946376310747,NA,1.8384002831124238,NA,1.2453515426248523,NA
TP22-13,1,italic('T. Pseudonana'),Culture,3,2022-05-09T11:00:00Z,2022-05-09,11:00:00,2022-11-27,2022-11-27T11:00:00Z,441130,NA,0.8283539787817333,NA,1.5235883899211629,NA,1.5417091653067212,NA,1.91843740503448,NA,1.288115908583614,NA
TP22-13,1,italic('T. Pseudonana'),Culture,4,2022-05-09T13:00:00Z,2022-05-09,13:00:00,2022-11-27,2022-11-27T13:00:00Z,409849,NA,1.2412024672667774,NA,1.7540043654168396,NA,1.619181792458606,NA,2.104102694558047,NA,1.3444274283274207,NA
TP22-13,1,italic('T. Pseudonana'),Culture,5,2022-05-09T15:00:00Z,2022-05-09,15:00:00,2022-11-27,2022-11-27T15:00:00Z,437665,NA,1.1733618245982163,NA,1.7038684441928669,NA,1.6387451335554104,NA,2.1318624266572996,NA,1.419305607587946,NA
TP22-13,1,italic('T. Pseudonana'),Culture,6,2022-05-09T17:00:00Z,2022-05-09,17:00:00,2022-11-27,2022-11-27T17:00:00Z,542243,NA,1.1222865148671028,NA,1.6726935416821531,NA,1.6283495760324176,NA,2.087371555803499,NA,1.4560044068792894,NA
TP22-13,1,italic('T. Pseudonana'),Culture,7,2022-05-09T19:00:00Z,2022-05-09,19:00:00,2022-11-27,2022-11-27T19:00:00Z,544330,NA,1.0675899488143874,NA,1.6409484733176622,NA,1.6832408954031797,NA,2.0610679502371982,NA,1.4732402705748862,NA
TP22-13,1,italic('T. Pseudonana'),Culture,8,2022-05-09T21:00:00Z,2022-05-09,21:00:00,2022-11-27,2022-11-27T21:00:00Z,549538,NA,0.9553451539518473,NA,1.5866810289717448,NA,1.6866947831838126,NA,2.0955044311039233,NA,1.4214073851735023,NA
TP22-13,1,italic('T. Pseudonana'),Culture,9,2022-05-09T23:00:00Z,2022-05-09,23:00:00,2022-11-27,2022-11-27T23:00:00Z,525232,NA,0.8950146110899169,NA,1.552518815923262,NA,1.6415348493664477,NA,2.14281788551969,NA,1.374650493271224,NA
TP22-13,1,italic('T. Pseudonana'),Culture,10,2022-05-10T01:00:00Z,2022-05-10,01:00:00,2022-11-28,2022-11-28T01:00:00Z,507732,NA,0.8868379915021479,NA,1.5399635592572534,NA,1.6111090370867291,NA,2.130422758102439,NA,1.3341038134982623,NA
