Current Date: 08-Dec-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number: 6735115039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Name: InCyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number: 2.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gains,,,,,,,,Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Sample Number ,  Sample ID ,  Number of Events ,  Termination Count ,  Count Gate ,  Dilution Factor ,  Original Volume ,  Cells/µL ,  Total Volume (µL) ,  Acquisition Time (s) ,  Date of Acquisition ,  Time of Acquisition ,  FSC Gain ,  SSC ,  GRN ,  YEL ,  RED ,  NIR ,  RED2 ,  NIR2 ,  GRN - %YEL ,  YEL - %GRN ,  RED - %YEL ,  YEL - %RED ,  RED - %NIR ,  NIR - %RED ,  YEL - %NIR ,  NIR - %YEL ,  GRN - %RED ,  RED - %GRN ,  GRN - %NIR ,  NIR - %GRN ,  RED2 - %YEL ,   YEL - %RED2 ,   RED2 - %RED ,   RED - %RED2 ,   RED2 - %GRN ,   GRN - %RED2 ,   RED2 - %NIR ,   NIR - %RED2 ,   RED2 - %NIR2 ,   NIR2 - %RED2 ,  NIR2 - %YEL ,   YEL - %NIR2 ,   NIR2 - %RED ,   RED - %NIR2 ,   NIR2 - %GRN ,   GRN - %NIR2 ,   NIR2 - %NIR ,   NIR - %NIR2 ,  Threshold Parameter ,  Threshold Value ,  Flow Rate (µL/s) ,  High Concentration Warning Trigger ,  # of Errors & Warnings ,  User Login Name ,  User Full Name ,   WorkList 
11, POC_D_a_1,608,10000, All Events,1,0.2,6.92E+01,8.79,14.9, 07-DEC-2022 , 09:57:13 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
12, POC_D_a_1,684,10000, All Events,1,0.2,7.78E+01,8.79,14.9, 07-DEC-2022 , 09:57:58 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
13, POC_D_b_1,1846,10000, All Events,1,0.2,2.10E+02,8.79,14.9, 07-DEC-2022 , 09:58:41 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
14, POC_D_b_1,2598,10000, All Events,1,0.2,2.96E+02,8.79,14.9, 07-DEC-2022 , 09:59:29 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
15, POC_D_c_1,2590,10000, All Events,1,0.2,2.95E+02,8.79,14.9, 07-DEC-2022 , 10:00:06 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
16, POC_D_c_1,3085,10000, All Events,1,0.2,3.51E+02,8.79,14.9, 07-DEC-2022 , 10:00:43 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
33, POC_D_a_2,3414,10000, All Events,1,0.2,3.88E+02,8.79,14.9, 07-DEC-2022 , 11:54:09 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
34, POC_D_a_2,3885,10000, All Events,1,0.2,4.42E+02,8.79,14.9, 07-DEC-2022 , 11:54:53 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
35, POC_D_b_2,10000,10000, All Events,1,0.2,2.16E+03,4.63,7.85, 07-DEC-2022 , 11:55:30 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
36, POC_D_b_2,10000,10000, All Events,1,0.2,2.15E+03,4.66,7.9, 07-DEC-2022 , 11:56:11 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
37, POC_D_c_2,6251,10000, All Events,1,0.2,7.11E+02,8.79,14.9, 07-DEC-2022 , 11:56:49 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
38, POC_D_c_2,6092,10000, All Events,1,0.2,6.93E+02,8.79,14.89, 07-DEC-2022 , 11:57:26 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
56, POC_A_a_3,17,10000, All Events,1,0.2,1.93E+00,8.79,14.9, 07-DEC-2022 , 14:33:34 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
57, POC_A_a_3,17,10000, All Events,1,0.2,1.93E+00,8.79,14.9, 07-DEC-2022 , 14:34:08 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
58, POC_A_b_3,10000,10000, All Events,1,0.2,2.21E+03,4.53,7.68, 07-DEC-2022 , 14:34:46 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
59, POC_A_b_3,10000,10000, All Events,1,0.2,2.21E+03,4.53,7.68, 07-DEC-2022 , 14:35:26 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
60, POC_A_c_3,10000,10000, All Events,1,0.2,2.17E+03,4.61,7.82, 07-DEC-2022 , 14:35:57 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
61, POC_A_c_3,10000,10000, All Events,1,0.2,2.18E+03,4.59,7.78, 07-DEC-2022 , 14:36:28 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
62, POC_B_a_3,214,10000, All Events,1,0.2,2.43E+01,8.79,14.9, 07-DEC-2022 , 14:37:05 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
63, POC_B_a_3,215,10000, All Events,1,0.2,2.46E+01,8.73,14.8, 07-DEC-2022 , 14:37:43 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
64, POC_B_b_3,16,10000, All Events,1,0.2,1.82E+00,8.79,14.9, 07-DEC-2022 , 14:38:21 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
65, POC_B_b_3,23,10000, All Events,1,0.2,2.62E+00,8.79,14.9, 07-DEC-2022 , 14:38:58 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
66, POC_B_c_3,15,10000, All Events,1,0.2,1.72E+00,8.73,14.8, 07-DEC-2022 , 14:39:36 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
67, POC_B_c_3,19,10000, All Events,1,0.2,2.16E+00,8.79,14.9, 07-DEC-2022 , 14:40:14 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
68, POC_C_a_3,5,10000, All Events,1,0.2,5.69E-01,8.79,14.9, 07-DEC-2022 , 14:40:52 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
69, POC_C_a_3,8,10000, All Events,1,0.2,9.10E-01,8.79,14.9, 07-DEC-2022 , 14:41:26 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
70, POC_C_b_3,12,10000, All Events,1,0.2,1.37E+00,8.79,14.9, 07-DEC-2022 , 14:42:10 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
71, POC_C_b_3,10,10000, All Events,1,0.2,1.14E+00,8.79,14.9, 07-DEC-2022 , 14:42:58 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
72, POC_C_c_3,26,10000, All Events,1,0.2,2.96E+00,8.79,14.9, 07-DEC-2022 , 14:43:36 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
73, POC_C_c_3,22,10000, All Events,1,0.2,2.50E+00,8.79,14.9, 07-DEC-2022 , 14:44:14 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
74, POC_D_a_3,148,10000, All Events,1,0.2,1.68E+01,8.79,14.9, 07-DEC-2022 , 14:44:52 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
75, POC_D_a_3,155,10000, All Events,1,0.2,1.76E+01,8.79,14.9, 07-DEC-2022 , 14:45:29 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
76, POC_D_b_3,5952,10000, All Events,1,0.2,6.77E+02,8.79,14.9, 07-DEC-2022 , 14:46:07 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
77, POC_D_b_3,5796,10000, All Events,1,0.2,6.59E+02,8.79,14.9, 07-DEC-2022 , 14:46:45 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
78, POC_D_c_3,10000,10000, All Events,1,0.2,2.01E+03,4.98,8.45, 07-DEC-2022 , 14:47:16 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
79, POC_D_c_3,10000,10000, All Events,1,0.2,1.88E+03,5.31,9, 07-DEC-2022 , 14:47:48 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate1.csv
11, POC_D_a_4,751,10000, All Events,1,0.2,8.54E+01,8.79,14.9, 07-DEC-2022 , 15:57:33 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate2.csv
12, POC_D_a_4,716,10000, All Events,1,0.2,8.15E+01,8.79,14.9, 07-DEC-2022 , 15:58:18 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate2.csv
13, POC_D_b_4,353,10000, All Events,1,0.2,4.09E+01,8.64,14.64, 07-DEC-2022 , 15:59:02 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate2.csv
14, POC_D_b_4,385,10000, All Events,1,0.2,4.38E+01,8.79,14.9, 07-DEC-2022 , 15:59:48 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,2, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate2.csv
15, POC_D_c_4,57,10000, All Events,1,0.2,6.48E+00,8.79,14.9, 07-DEC-2022 , 16:00:26 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate2.csv
16, POC_D_c_4,69,10000, All Events,1,0.2,7.85E+00,8.79,14.9, 07-DEC-2022 , 16:01:03 ,30.64,1.09,1,17.45,2.28, ---, ---, ---,0,0,0,0, ---, ---, ---, ---,0,0, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---, RED-HLin,5,0.59,500,3, GUAVAHT\GTI, Unknown,C:/Documents and Settings/GTI/Desktop/Nick Baetge/OL/OL22-3/Plate2.csv
