----,
DateTime:,      2022/12/01, 11:10:28, 1669921827,
PIF:,             17.28,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,   710.94,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.384,      32.176,      0.000,
    2,        3.3,    410.720,      37.889,      0.000,
    3,        5.8,    410.998,      43.489,      0.000,
    4,        8.3,    411.258,      47.541,      0.000,
    5,       10.8,    411.647,      50.011,      0.000,
    6,       13.3,    411.925,      51.768,      0.000,
    7,       15.8,    412.091,      52.632,      0.000,
    8,       18.3,    412.351,      53.353,      0.000,
    9,       20.8,    412.425,      53.667,      0.000,
   10,       23.3,    412.610,      54.139,      0.000,
   11,       25.8,    412.777,      54.206,      0.000,
   12,       28.3,    412.795,      54.431,      0.000,
   13,       30.8,    412.999,      54.419,      0.000,
   14,       33.3,    413.240,      54.571,      0.000,
   15,       35.8,    413.351,      54.495,      0.000,
   16,       38.3,    413.444,      54.584,      0.000,
   17,       40.8,    413.499,      54.632,      0.000,
   18,       43.3,    413.555,      54.727,      0.000,
   19,       45.8,    413.536,      54.607,      0.000,
   20,       48.3,    413.666,      54.660,      0.000,
   21,       50.8,    413.666,      54.553,      0.000,
   22,       53.3,    413.722,      54.851,      0.000,
   23,       55.8,    413.685,      54.537,      0.000,
   24,       58.3,    413.870,      54.576,      0.000,
   25,       60.8,    413.888,      54.589,      0.000,
   26,       63.3,    413.926,      54.600,      0.000,
   27,       65.8,    413.981,      54.564,      0.000,
   28,       68.3,    414.000,      54.486,      0.000,
   29,       70.8,    414.092,      54.584,      0.000,
   30,       73.3,    414.018,      54.441,      0.000,
   31,       75.8,    414.129,      54.514,      0.000,
