----,
DateTime:,      2022/11/30, 09:36:52, 1669829811,
PIF:,             18.23,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,   613.13,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.259,      27.583,      0.000,
    2,        3.3,    410.559,      31.942,      0.000,
    3,        5.8,    410.910,      36.216,      0.000,
    4,        8.3,    411.261,      39.256,      0.000,
    5,       10.8,    411.483,      40.990,      0.000,
    6,       13.3,    411.815,      42.205,      0.000,
    7,       15.8,    412.130,      42.672,      0.000,
    8,       18.3,    412.240,      43.193,      0.000,
    9,       20.8,    412.499,      43.271,      0.000,
   10,       23.3,    412.629,      43.443,      0.000,
   11,       25.8,    412.665,      43.471,      0.000,
   12,       28.3,    412.758,      43.591,      0.000,
   13,       30.8,    412.961,      43.547,      0.000,
   14,       33.3,    413.017,      43.623,      0.000,
   15,       35.8,    413.238,      43.545,      0.000,
   16,       38.3,    413.349,      43.600,      0.000,
   17,       40.8,    413.423,      43.566,      0.000,
   18,       43.3,    413.479,      43.580,      0.000,
   19,       45.8,    413.442,      43.544,      0.000,
   20,       48.3,    413.553,      43.595,      0.000,
   21,       50.8,    413.534,      43.432,      0.000,
   22,       53.3,    413.663,      43.474,      0.000,
   23,       55.8,    413.645,      43.366,      0.000,
   24,       58.3,    413.774,      43.330,      0.000,
   25,       60.8,    413.830,      43.310,      0.000,
   26,       63.3,    413.922,      43.405,      0.000,
   27,       65.8,    413.848,      43.316,      0.000,
   28,       68.3,    414.015,      43.197,      0.000,
   29,       70.8,    413.996,      43.160,      0.000,
   30,       73.3,    414.015,      43.139,      0.000,
   31,       75.8,    414.015,      43.273,      0.000,
