----,
DateTime:,      2022/11/30, 23:15:25, 1669878924,
PIF:,             14.44,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,   982.02,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.181,      35.184,      0.000,
    2,        3.3,    410.638,      41.501,      0.000,
    3,        5.8,    410.879,      47.696,      0.000,
    4,        8.3,    411.212,      51.891,      0.000,
    5,       10.8,    411.527,      54.580,      0.000,
    6,       13.3,    411.897,      56.229,      0.000,
    7,       15.8,    412.119,      57.174,      0.000,
    8,       18.3,    412.174,      57.602,      0.000,
    9,       20.8,    412.507,      57.934,      0.000,
   10,       23.3,    412.563,      58.178,      0.000,
   11,       25.8,    412.600,      58.195,      0.000,
   12,       28.3,    412.785,      58.291,      0.000,
   13,       30.8,    412.933,      58.452,      0.000,
   14,       33.3,    413.155,      58.412,      0.000,
   15,       35.8,    413.266,      58.280,      0.000,
   16,       38.3,    413.322,      58.440,      0.000,
   17,       40.8,    413.433,      58.328,      0.000,
   18,       43.3,    413.433,      58.318,      0.000,
   19,       45.8,    413.451,      58.309,      0.000,
   20,       48.3,    413.562,      58.289,      0.000,
   21,       50.8,    413.562,      58.210,      0.000,
   22,       53.3,    413.729,      58.015,      0.000,
   23,       55.8,    413.710,      58.113,      0.000,
   24,       58.3,    413.803,      58.033,      0.000,
   25,       60.8,    413.951,      58.058,      0.000,
   26,       63.3,    413.951,      57.978,      0.000,
   27,       65.8,    413.969,      58.016,      0.000,
   28,       68.3,    414.006,      57.885,      0.000,
   29,       70.8,    413.988,      57.858,      0.000,
   30,       73.3,    413.988,      57.715,      0.000,
   31,       75.8,    414.117,      57.775,      0.000,
