----,
DateTime:,      2022/12/07, 13:46:11, 1670449570,
PIF:,             16.11,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,  1269.77,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.240,      44.479,      0.000,
    2,        3.3,    410.618,      52.853,      0.000,
    3,        5.8,    410.914,      61.066,      0.000,
    4,        8.3,    411.211,      66.239,      0.000,
    5,       10.8,    411.526,      69.588,      0.000,
    6,       13.3,    411.897,      71.494,      0.000,
    7,       15.8,    412.101,      72.619,      0.000,
    8,       18.3,    412.267,      73.201,      0.000,
    9,       20.8,    412.397,      73.587,      0.000,
   10,       23.3,    412.620,      73.906,      0.000,
   11,       25.8,    412.638,      73.899,      0.000,
   12,       28.3,    412.805,      73.952,      0.000,
   13,       30.8,    413.046,      74.209,      0.000,
   14,       33.3,    413.139,      74.120,      0.000,
   15,       35.8,    413.343,      74.078,      0.000,
   16,       38.3,    413.305,      74.085,      0.000,
   17,       40.8,    413.417,      73.988,      0.000,
   18,       43.3,    413.361,      74.021,      0.000,
   19,       45.8,    413.602,      73.858,      0.000,
   20,       48.3,    413.528,      73.734,      0.000,
   21,       50.8,    413.565,      73.734,      0.000,
   22,       53.3,    413.658,      73.846,      0.000,
   23,       55.8,    413.732,      73.672,      0.000,
   24,       58.3,    413.862,      73.637,      0.000,
   25,       60.8,    413.899,      73.488,      0.000,
   26,       63.3,    413.936,      73.624,      0.000,
   27,       65.8,    413.991,      73.487,      0.000,
   28,       68.3,    414.010,      73.393,      0.000,
   29,       70.8,    413.954,      73.255,      0.000,
   30,       73.3,    414.010,      73.282,      0.000,
   31,       75.8,    414.121,      73.258,      0.000,
