----,
DateTime:,      2022/12/08, 01:57:39, 1670493458,
PIF:,              9.00,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,  1746.19,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.267,      74.346,      0.000,
    2,        3.3,    410.690,      90.076,      0.000,
    3,        5.8,    410.990,     105.501,      0.000,
    4,        8.3,    411.478,     114.595,      0.000,
    5,       10.8,    411.703,     119.837,      0.000,
    6,       13.3,    412.003,     122.623,      0.000,
    7,       15.8,    412.190,     124.215,      0.000,
    8,       18.3,    412.265,     125.015,      0.000,
    9,       20.8,    412.546,     125.424,      0.000,
   10,       23.3,    412.640,     125.547,      0.000,
   11,       25.8,    412.771,     125.784,      0.000,
   12,       28.3,    412.903,     125.888,      0.000,
   13,       30.8,    413.071,     125.981,      0.000,
   14,       33.3,    413.184,     125.846,      0.000,
   15,       35.8,    413.315,     125.618,      0.000,
   16,       38.3,    413.390,     125.633,      0.000,
   17,       40.8,    413.390,     125.610,      0.000,
   18,       43.3,    413.559,     125.530,      0.000,
   19,       45.8,    413.540,     125.375,      0.000,
   20,       48.3,    413.615,     125.305,      0.000,
   21,       50.8,    413.671,     125.220,      0.000,
   22,       53.3,    413.709,     125.174,      0.000,
   23,       55.8,    413.821,     124.933,      0.000,
   24,       58.3,    413.896,     124.940,      0.000,
   25,       60.8,    413.990,     124.834,      0.000,
   26,       63.3,    413.990,     124.841,      0.000,
   27,       65.8,    413.990,     124.729,      0.000,
   28,       68.3,    414.121,     124.675,      0.000,
   29,       70.8,    414.084,     124.423,      0.000,
   30,       73.3,    414.140,     124.495,      0.000,
   31,       75.8,    414.065,     124.306,      0.000,
