----,
DateTime:,      2022/12/07, 19:22:33, 1670469752,
PIF:,             15.97,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,  1235.22,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.250,      43.915,      0.000,
    2,        3.3,    410.748,      52.776,      0.000,
    3,        5.8,    411.011,      61.465,      0.000,
    4,        8.3,    411.479,      67.335,      0.000,
    5,       10.8,    411.798,      70.902,      0.000,
    6,       13.3,    412.041,      73.060,      0.000,
    7,       15.8,    412.248,      74.402,      0.000,
    8,       18.3,    412.416,      74.980,      0.000,
    9,       20.8,    412.585,      75.466,      0.000,
   10,       23.3,    412.716,      75.840,      0.000,
   11,       25.8,    412.829,      76.002,      0.000,
   12,       28.3,    412.960,      76.035,      0.000,
   13,       30.8,    413.072,      76.156,      0.000,
   14,       33.3,    413.241,      76.076,      0.000,
   15,       35.8,    413.429,      76.069,      0.000,
   16,       38.3,    413.429,      76.066,      0.000,
   17,       40.8,    413.522,      76.033,      0.000,
   18,       43.3,    413.504,      75.971,      0.000,
   19,       45.8,    413.635,      75.955,      0.000,
   20,       48.3,    413.747,      75.829,      0.000,
   21,       50.8,    413.729,      75.832,      0.000,
   22,       53.3,    413.747,      75.677,      0.000,
   23,       55.8,    413.860,      75.684,      0.000,
   24,       58.3,    413.916,      75.709,      0.000,
   25,       60.8,    413.935,      75.617,      0.000,
   26,       63.3,    414.028,      75.572,      0.000,
   27,       65.8,    413.953,      75.452,      0.000,
   28,       68.3,    414.085,      75.476,      0.000,
   29,       70.8,    414.085,      75.353,      0.000,
   30,       73.3,    414.122,      75.479,      0.000,
   31,       75.8,    414.197,      75.342,      0.000,
