----,
DateTime:,      2022/12/07, 23:36:57, 1670485016,
PIF:,              9.91,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,  2437.59,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.222,      78.101,      0.000,
    2,        3.3,    410.716,      94.769,      0.000,
    3,        5.8,    411.016,     111.115,      0.000,
    4,        8.3,    411.372,     120.952,      0.000,
    5,       10.8,    411.690,     126.749,      0.000,
    6,       13.3,    411.971,     129.963,      0.000,
    7,       15.8,    412.196,     131.539,      0.000,
    8,       18.3,    412.439,     132.139,      0.000,
    9,       20.8,    412.496,     132.569,      0.000,
   10,       23.3,    412.645,     132.861,      0.000,
   11,       25.8,    412.758,     133.033,      0.000,
   12,       28.3,    412.908,     133.056,      0.000,
   13,       30.8,    413.058,     133.015,      0.000,
   14,       33.3,    413.282,     133.041,      0.000,
   15,       35.8,    413.376,     133.040,      0.000,
   16,       38.3,    413.376,     132.884,      0.000,
   17,       40.8,    413.395,     132.747,      0.000,
   18,       43.3,    413.545,     132.527,      0.000,
   19,       45.8,    413.545,     132.467,      0.000,
   20,       48.3,    413.582,     132.368,      0.000,
   21,       50.8,    413.657,     132.261,      0.000,
   22,       53.3,    413.788,     132.178,      0.000,
   23,       55.8,    413.713,     131.929,      0.000,
   24,       58.3,    413.863,     131.855,      0.000,
   25,       60.8,    413.863,     131.686,      0.000,
   26,       63.3,    413.957,     131.674,      0.000,
   27,       65.8,    413.901,     131.546,      0.000,
   28,       68.3,    414.013,     131.494,      0.000,
   29,       70.8,    414.125,     131.283,      0.000,
   30,       73.3,    414.125,     131.295,      0.000,
   31,       75.8,    414.144,     131.117,      0.000,
