----,
DateTime:,      2022/12/08, 09:21:23, 1670520082,
PIF:,              8.89,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,  2082.07,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.399,      76.898,      0.000,
    2,        3.3,    410.683,      94.040,      0.000,
    3,        5.8,    410.999,     110.858,      0.000,
    4,        8.3,    411.295,     120.714,      0.000,
    5,       10.8,    411.666,     125.938,      0.000,
    6,       13.3,    411.888,     128.855,      0.000,
    7,       15.8,    412.074,     130.190,      0.000,
    8,       18.3,    412.277,     130.651,      0.000,
    9,       20.8,    412.518,     130.981,      0.000,
   10,       23.3,    412.630,     131.049,      0.000,
   11,       25.8,    412.704,     131.204,      0.000,
   12,       28.3,    412.815,     131.289,      0.000,
   13,       30.8,    412.889,     131.206,      0.000,
   14,       33.3,    413.075,     131.218,      0.000,
   15,       35.8,    413.223,     131.089,      0.000,
   16,       38.3,    413.334,     131.006,      0.000,
   17,       40.8,    413.427,     130.891,      0.000,
   18,       43.3,    413.464,     130.768,      0.000,
   19,       45.8,    413.519,     130.624,      0.000,
   20,       48.3,    413.519,     130.511,      0.000,
   21,       50.8,    413.556,     130.281,      0.000,
   22,       53.3,    413.686,     130.047,      0.000,
   23,       55.8,    413.797,     130.092,      0.000,
   24,       58.3,    413.834,     129.883,      0.000,
   25,       60.8,    413.853,     129.800,      0.000,
   26,       63.3,    413.890,     129.734,      0.000,
   27,       65.8,    414.001,     129.498,      0.000,
   28,       68.3,    414.020,     129.369,      0.000,
   29,       70.8,    414.057,     129.246,      0.000,
   30,       73.3,    413.983,     129.193,      0.000,
   31,       75.8,    414.187,     129.155,      0.000,
