----,
DateTime:,      2022/12/07, 23:32:35, 1670484754,
PIF:,             10.23,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,  1690.01,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.254,      73.039,      0.000,
    2,        3.3,    410.688,      88.475,      0.000,
    3,        5.8,    410.950,     103.619,      0.000,
    4,        8.3,    411.250,     112.790,      0.000,
    5,       10.8,    411.549,     118.197,      0.000,
    6,       13.3,    411.811,     121.080,      0.000,
    7,       15.8,    412.167,     122.579,      0.000,
    8,       18.3,    412.317,     123.514,      0.000,
    9,       20.8,    412.429,     124.043,      0.000,
   10,       23.3,    412.598,     124.126,      0.000,
   11,       25.8,    412.635,     124.200,      0.000,
   12,       28.3,    412.860,     124.404,      0.000,
   13,       30.8,    413.085,     124.359,      0.000,
   14,       33.3,    413.235,     124.339,      0.000,
   15,       35.8,    413.328,     124.243,      0.000,
   16,       38.3,    413.366,     124.162,      0.000,
   17,       40.8,    413.459,     124.120,      0.000,
   18,       43.3,    413.478,     123.988,      0.000,
   19,       45.8,    413.441,     123.877,      0.000,
   20,       48.3,    413.665,     123.927,      0.000,
   21,       50.8,    413.628,     123.665,      0.000,
   22,       53.3,    413.740,     123.643,      0.000,
   23,       55.8,    413.796,     123.524,      0.000,
   24,       58.3,    413.815,     123.528,      0.000,
   25,       60.8,    413.778,     123.436,      0.000,
   26,       63.3,    413.927,     123.319,      0.000,
   27,       65.8,    413.984,     123.163,      0.000,
   28,       68.3,    413.946,     123.196,      0.000,
   29,       70.8,    414.002,     123.147,      0.000,
   30,       73.3,    414.059,     123.018,      0.000,
   31,       75.8,    414.133,     122.902,      0.000,
