----,
DateTime:,      2022/08/17, 17:33:24, 1660782803,
PIF:,             41.53,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,           1,    5, 
S/N Ratio:,   364.73,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.244,      82.480,      0.000,
    2,        3.3,    410.615,      86.709,      0.000,
    3,        5.8,    411.000,      90.856,      0.000,
    4,        8.3,    411.310,      94.520,      0.000,
    5,       10.8,    411.640,      96.865,      0.000,
    6,       13.3,    411.878,      98.915,      0.000,
    7,       15.8,    412.188,     100.309,      0.000,
    8,       18.3,    412.335,     101.385,      0.000,
    9,       20.8,    412.463,     101.988,      0.000,
   10,       23.3,    412.701,     102.684,      0.000,
   11,       25.8,    412.737,     103.382,      0.000,
   12,       28.3,    412.902,     103.982,      0.000,
   13,       30.8,    413.030,     104.274,      0.000,
   14,       33.3,    413.231,     103.919,      0.000,
   15,       35.8,    413.341,     104.596,      0.000,
   16,       38.3,    413.469,     104.099,      0.000,
   17,       40.8,    413.524,     104.242,      0.000,
   18,       43.3,    413.634,     104.545,      0.000,
   19,       45.8,    413.652,     104.772,      0.000,
   20,       48.3,    413.762,     105.006,      0.000,
   21,       50.8,    413.762,     105.324,      0.000,
   22,       53.3,    413.835,     105.144,      0.000,
   23,       55.8,    413.890,     105.514,      0.000,
   24,       58.3,    413.890,     105.436,      0.000,
   25,       60.8,    414.054,     105.170,      0.000,
   26,       63.3,    414.109,     105.159,      0.000,
   27,       65.8,    414.182,     106.020,      0.000,
   28,       68.3,    414.164,     105.199,      0.000,
   29,       70.8,    414.182,     105.436,      0.000,
   30,       73.3,    414.237,     106.162,      0.000,
   31,       75.8,    414.310,     105.417,      0.000,
