----,
DateTime:,      2022/08/16, 11:31:20, 1660674679,
PIF:,             10.28,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          25,    5, 
S/N Ratio:,   962.69,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.172,      46.741,      0.000,
    2,        3.3,    410.756,      49.360,      0.000,
    3,        5.8,    410.994,      51.927,      0.000,
    4,        8.3,    411.377,      53.515,      0.000,
    5,       10.8,    411.670,      55.090,      0.000,
    6,       13.3,    411.944,      56.042,      0.000,
    7,       15.8,    412.181,      56.845,      0.000,
    8,       18.3,    412.382,      57.342,      0.000,
    9,       20.8,    412.565,      57.910,      0.000,
   10,       23.3,    412.766,      58.155,      0.000,
   11,       25.8,    412.839,      58.456,      0.000,
   12,       28.3,    412.967,      58.640,      0.000,
   13,       30.8,    413.004,      59.002,      0.000,
   14,       33.3,    413.260,      58.960,      0.000,
   15,       35.8,    413.442,      59.068,      0.000,
   16,       38.3,    413.479,      59.102,      0.000,
   17,       40.8,    413.607,      59.295,      0.000,
   18,       43.3,    413.607,      59.361,      0.000,
   19,       45.8,    413.680,      59.360,      0.000,
   20,       48.3,    413.662,      59.371,      0.000,
   21,       50.8,    413.735,      59.446,      0.000,
   22,       53.3,    413.844,      59.418,      0.000,
   23,       55.8,    413.917,      59.357,      0.000,
   24,       58.3,    414.009,      59.599,      0.000,
   25,       60.8,    414.155,      59.545,      0.000,
   26,       63.3,    414.045,      59.583,      0.000,
   27,       65.8,    414.082,      59.396,      0.000,
   28,       68.3,    414.082,      59.511,      0.000,
   29,       70.8,    414.228,      59.456,      0.000,
   30,       73.3,    414.118,      59.552,      0.000,
   31,       75.8,    414.301,      59.462,      0.000,
