----,
DateTime:,      2022/08/16, 17:20:29, 1660695628,
PIF:,             32.61,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,           1,    5, 
S/N Ratio:,   228.14,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.053,      60.330,      0.000,
    2,        3.3,    410.602,      63.327,      0.000,
    3,        5.8,    411.078,      66.264,      0.000,
    4,        8.3,    411.262,      67.762,      0.000,
    5,       10.8,    411.628,      69.005,      0.000,
    6,       13.3,    411.775,      70.246,      0.000,
    7,       15.8,    412.031,      70.851,      0.000,
    8,       18.3,    412.306,      72.020,      0.000,
    9,       20.8,    412.526,      71.827,      0.000,
   10,       23.3,    412.654,      72.704,      0.000,
   11,       25.8,    412.783,      73.164,      0.000,
   12,       28.3,    412.874,      73.150,      0.000,
   13,       30.8,    412.874,      73.604,      0.000,
   14,       33.3,    413.204,      73.328,      0.000,
   15,       35.8,    413.277,      73.712,      0.000,
   16,       38.3,    413.351,      73.446,      0.000,
   17,       40.8,    413.479,      73.673,      0.000,
   18,       43.3,    413.552,      74.074,      0.000,
   19,       45.8,    413.699,      74.281,      0.000,
   20,       48.3,    413.644,      74.368,      0.000,
   21,       50.8,    413.680,      74.208,      0.000,
   22,       53.3,    413.662,      74.035,      0.000,
   23,       55.8,    413.790,      74.026,      0.000,
   24,       58.3,    413.772,      74.804,      0.000,
   25,       60.8,    413.900,      74.317,      0.000,
   26,       63.3,    413.974,      74.309,      0.000,
   27,       65.8,    414.157,      74.304,      0.000,
   28,       68.3,    414.047,      74.289,      0.000,
   29,       70.8,    414.193,      74.610,      0.000,
   30,       73.3,    414.193,      74.263,      0.000,
   31,       75.8,    414.230,      74.433,      0.000,
