----,
DateTime:,      2022/08/25, 11:27:20, 1661452039,
PIF:,             11.18,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          50,    5, 
S/N Ratio:,  3696.07,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.240,     137.204,      0.000,
    2,        3.3,    410.663,     145.844,      0.000,
    3,        5.8,    410.956,     154.320,      0.000,
    4,        8.3,    411.249,     159.747,      0.000,
    5,       10.8,    411.651,     163.395,      0.000,
    6,       13.3,    411.834,     166.854,      0.000,
    7,       15.8,    412.035,     169.345,      0.000,
    8,       18.3,    412.327,     171.311,      0.000,
    9,       20.8,    412.400,     172.659,      0.000,
   10,       23.3,    412.620,     173.806,      0.000,
   11,       25.8,    412.693,     174.583,      0.000,
   12,       28.3,    412.876,     175.383,      0.000,
   13,       30.8,    413.004,     175.876,      0.000,
   14,       33.3,    413.059,     176.468,      0.000,
   15,       35.8,    413.260,     176.806,      0.000,
   16,       38.3,    413.351,     177.306,      0.000,
   17,       40.8,    413.333,     177.459,      0.000,
   18,       43.3,    413.388,     177.775,      0.000,
   19,       45.8,    413.479,     177.982,      0.000,
   20,       48.3,    413.461,     178.228,      0.000,
   21,       50.8,    413.479,     178.356,      0.000,
   22,       53.3,    413.498,     178.577,      0.000,
   23,       55.8,    413.552,     178.601,      0.000,
   24,       58.3,    413.662,     178.830,      0.000,
   25,       60.8,    413.772,     178.875,      0.000,
   26,       63.3,    413.863,     179.036,      0.000,
   27,       65.8,    414.009,     179.204,      0.000,
   28,       68.3,    413.936,     179.227,      0.000,
   29,       70.8,    413.918,     179.227,      0.000,
   30,       73.3,    413.900,     179.411,      0.000,
   31,       75.8,    413.991,     179.417,      0.000,
