----,
DateTime:,      2022/08/24, 09:44:55, 1661359493,
PIF:,             14.27,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          50,    5, 
S/N Ratio:,  3149.36,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    402.814,      92.692,      0.000,
    2,        3.3,    410.678,      99.700,      0.000,
    3,        5.8,    411.008,     106.564,      0.000,
    4,        8.3,    411.411,     111.487,      0.000,
    5,       10.8,    411.686,     115.295,      0.000,
    6,       13.3,    411.998,     117.983,      0.000,
    7,       15.8,    412.273,     120.192,      0.000,
    8,       18.3,    412.419,     121.696,      0.000,
    9,       20.8,    412.548,     122.743,      0.000,
   10,       23.3,    412.731,     123.530,      0.000,
   11,       25.8,    412.823,     124.080,      0.000,
   12,       28.3,    412.988,     124.583,      0.000,
   13,       30.8,    413.134,     125.099,      0.000,
   14,       33.3,    413.281,     125.456,      0.000,
   15,       35.8,    413.391,     125.733,      0.000,
   16,       38.3,    413.556,     125.886,      0.000,
   17,       40.8,    413.519,     126.187,      0.000,
   18,       43.3,    413.574,     126.362,      0.000,
   19,       45.8,    413.648,     126.497,      0.000,
   20,       48.3,    413.684,     126.698,      0.000,
   21,       50.8,    413.868,     126.860,      0.000,
   22,       53.3,    413.886,     126.923,      0.000,
   23,       55.8,    413.849,     126.873,      0.000,
   24,       58.3,    413.923,     127.018,      0.000,
   25,       60.8,    414.014,     127.155,      0.000,
   26,       63.3,    414.069,     127.154,      0.000,
   27,       65.8,    414.124,     127.290,      0.000,
   28,       68.3,    414.198,     127.212,      0.000,
   29,       70.8,    414.289,     127.254,      0.000,
   30,       73.3,    414.234,     127.209,      0.000,
   31,       75.8,    414.326,     127.262,      0.000,
