----,
DateTime:,      2022/08/25, 05:37:27, 1661431046,
PIF:,             11.58,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          50,    5, 
S/N Ratio:,  2887.77,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.195,     127.851,      0.000,
    2,        3.3,    410.565,     140.011,      0.000,
    3,        5.8,    410.839,     151.939,      0.000,
    4,        8.3,    411.333,     161.317,      0.000,
    5,       10.8,    411.516,     167.602,      0.000,
    6,       13.3,    411.717,     173.171,      0.000,
    7,       15.8,    411.991,     176.992,      0.000,
    8,       18.3,    412.119,     179.749,      0.000,
    9,       20.8,    412.338,     181.822,      0.000,
   10,       23.3,    412.393,     183.367,      0.000,
   11,       25.8,    412.503,     184.368,      0.000,
   12,       28.3,    412.759,     185.260,      0.000,
   13,       30.8,    412.850,     185.860,      0.000,
   14,       33.3,    413.052,     186.358,      0.000,
   15,       35.8,    413.161,     186.598,      0.000,
   16,       38.3,    413.253,     187.027,      0.000,
   17,       40.8,    413.271,     187.052,      0.000,
   18,       43.3,    413.308,     187.350,      0.000,
   19,       45.8,    413.308,     187.299,      0.000,
   20,       48.3,    413.417,     187.351,      0.000,
   21,       50.8,    413.490,     187.419,      0.000,
   22,       53.3,    413.545,     187.426,      0.000,
   23,       55.8,    413.655,     187.307,      0.000,
   24,       58.3,    413.564,     187.272,      0.000,
   25,       60.8,    413.710,     187.228,      0.000,
   26,       63.3,    413.728,     187.179,      0.000,
   27,       65.8,    413.838,     187.116,      0.000,
   28,       68.3,    413.820,     186.990,      0.000,
   29,       70.8,    413.783,     186.901,      0.000,
   30,       73.3,    413.838,     186.778,      0.000,
   31,       75.8,    413.948,     186.752,      0.000,
