----,
DateTime:,      2022/08/24, 21:45:16, 1661402715,
PIF:,              4.60,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          25,    5, 
S/N Ratio:,  3131.26,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.108,     114.420,      0.000,
    2,        3.3,    410.590,     126.099,      0.000,
    3,        5.8,    410.974,     137.554,      0.000,
    4,        8.3,    411.267,     145.999,      0.000,
    5,       10.8,    411.633,     151.967,      0.000,
    6,       13.3,    411.962,     156.023,      0.000,
    7,       15.8,    412.035,     159.397,      0.000,
    8,       18.3,    412.218,     161.731,      0.000,
    9,       20.8,    412.438,     163.585,      0.000,
   10,       23.3,    412.566,     164.868,      0.000,
   11,       25.8,    412.694,     165.700,      0.000,
   12,       28.3,    412.804,     166.362,      0.000,
   13,       30.8,    412.932,     166.915,      0.000,
   14,       33.3,    413.151,     167.335,      0.000,
   15,       35.8,    413.352,     167.575,      0.000,
   16,       38.3,    413.316,     167.648,      0.000,
   17,       40.8,    413.407,     167.857,      0.000,
   18,       43.3,    413.554,     168.066,      0.000,
   19,       45.8,    413.608,     167.962,      0.000,
   20,       48.3,    413.608,     167.975,      0.000,
   21,       50.8,    413.663,     167.938,      0.000,
   22,       53.3,    413.663,     167.931,      0.000,
   23,       55.8,    413.682,     167.851,      0.000,
   24,       58.3,    413.791,     167.770,      0.000,
   25,       60.8,    413.846,     167.693,      0.000,
   26,       63.3,    413.883,     167.684,      0.000,
   27,       65.8,    413.901,     167.496,      0.000,
   28,       68.3,    413.919,     167.460,      0.000,
   29,       70.8,    414.066,     167.287,      0.000,
   30,       73.3,    414.084,     167.103,      0.000,
   31,       75.8,    414.011,     166.968,      0.000,
