----,
DateTime:,      2022/08/24, 09:58:27, 1661360306,
PIF:,             15.50,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          50,    5, 
S/N Ratio:,  2181.31,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    402.968,      82.193,      0.000,
    2,        3.3,    410.935,      88.323,      0.000,
    3,        5.8,    411.082,      94.327,      0.000,
    4,        8.3,    411.484,      98.621,      0.000,
    5,       10.8,    411.796,     101.866,      0.000,
    6,       13.3,    412.107,     104.316,      0.000,
    7,       15.8,    412.254,     106.134,      0.000,
    8,       18.3,    412.437,     107.461,      0.000,
    9,       20.8,    412.657,     108.502,      0.000,
   10,       23.3,    412.767,     109.240,      0.000,
   11,       25.8,    412.858,     109.757,      0.000,
   12,       28.3,    412.913,     110.123,      0.000,
   13,       30.8,    413.151,     110.505,      0.000,
   14,       33.3,    413.224,     110.927,      0.000,
   15,       35.8,    413.499,     110.943,      0.000,
   16,       38.3,    413.517,     111.060,      0.000,
   17,       40.8,    413.591,     111.299,      0.000,
   18,       43.3,    413.701,     111.393,      0.000,
   19,       45.8,    413.719,     111.537,      0.000,
   20,       48.3,    413.737,     111.481,      0.000,
   21,       50.8,    413.829,     111.610,      0.000,
   22,       53.3,    413.884,     111.569,      0.000,
   23,       55.8,    413.884,     111.596,      0.000,
   24,       58.3,    414.049,     111.531,      0.000,
   25,       60.8,    414.049,     111.662,      0.000,
   26,       63.3,    414.067,     111.623,      0.000,
   27,       65.8,    414.122,     111.654,      0.000,
   28,       68.3,    414.103,     111.632,      0.000,
   29,       70.8,    414.177,     111.557,      0.000,
   30,       73.3,    414.195,     111.462,      0.000,
   31,       75.8,    414.360,     111.401,      0.000,
