----,
DateTime:,      2022/08/24, 11:38:18, 1661366297,
PIF:,              5.42,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          25,    5, 
S/N Ratio:,  3541.58,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.028,     115.460,      0.000,
    2,        3.3,    410.879,     122.411,      0.000,
    3,        5.8,    411.118,     129.220,      0.000,
    4,        8.3,    411.466,     133.813,      0.000,
    5,       10.8,    411.650,     137.357,      0.000,
    6,       13.3,    412.017,     139.642,      0.000,
    7,       15.8,    412.237,     141.412,      0.000,
    8,       18.3,    412.585,     142.907,      0.000,
    9,       20.8,    412.622,     144.165,      0.000,
   10,       23.3,    412.806,     144.998,      0.000,
   11,       25.8,    412.897,     145.724,      0.000,
   12,       28.3,    413.044,     146.279,      0.000,
   13,       30.8,    413.191,     146.788,      0.000,
   14,       33.3,    413.246,     147.155,      0.000,
   15,       35.8,    413.448,     147.482,      0.000,
   16,       38.3,    413.539,     147.700,      0.000,
   17,       40.8,    413.668,     147.884,      0.000,
   18,       43.3,    413.705,     148.157,      0.000,
   19,       45.8,    413.778,     148.314,      0.000,
   20,       48.3,    413.815,     148.396,      0.000,
   21,       50.8,    413.851,     148.527,      0.000,
   22,       53.3,    413.815,     148.626,      0.000,
   23,       55.8,    413.980,     148.766,      0.000,
   24,       58.3,    414.071,     148.827,      0.000,
   25,       60.8,    414.163,     148.935,      0.000,
   26,       63.3,    414.145,     148.936,      0.000,
   27,       65.8,    414.255,     149.037,      0.000,
   28,       68.3,    414.181,     149.017,      0.000,
   29,       70.8,    414.218,     149.078,      0.000,
   30,       73.3,    414.328,     149.086,      0.000,
   31,       75.8,    414.218,     149.125,      0.000,
