----,
DateTime:,      2022/05/09, 11:26:30, 1652120789,
PIF:,             24.83,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,          50,    1, 
S/N Ratio:,   483.59,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    184.883,      18.834,      0.000,
    2,        3.3,    188.318,      20.756,      0.000,
    3,        5.8,    188.572,      22.638,      0.000,
    4,        8.3,    189.208,      24.523,      0.000,
    5,       10.8,    189.526,      26.771,      0.000,
    6,       13.3,    189.526,      29.052,      0.000,
    7,       15.8,    189.844,      31.372,      0.000,
    8,       18.3,    189.399,      33.447,      0.000,
    9,       20.8,    189.972,      35.544,      0.000,
   10,       23.3,    190.099,      37.348,      0.000,
   11,       25.8,    190.226,      38.996,      0.000,
   12,       28.3,    190.353,      40.819,      0.000,
   13,       30.8,    189.972,      42.251,      0.000,
   14,       33.3,    190.353,      43.272,      0.000,
   15,       35.8,    190.290,      44.269,      0.000,
   16,       38.3,    190.480,      45.203,      0.000,
   17,       40.8,    190.544,      46.048,      0.000,
   18,       43.3,    190.862,      46.606,      0.000,
   19,       45.8,    190.671,      47.062,      0.000,
   20,       48.3,    190.480,      47.723,      0.000,
   21,       50.8,    190.544,      48.194,      0.000,
   22,       53.3,    190.735,      48.377,      0.000,
   23,       55.8,    190.798,      48.563,      0.000,
   24,       58.3,    190.671,      49.001,      0.000,
   25,       60.8,    190.862,      49.160,      0.000,
   26,       63.3,    190.862,      49.311,      0.000,
   27,       65.8,    190.544,      49.298,      0.000,
   28,       68.3,    191.053,      49.598,      0.000,
   29,       70.8,    191.117,      49.645,      0.000,
   30,       73.3,    190.989,      49.723,      0.000,
   31,       75.8,    191.053,      49.629,      0.000,
