----,
DateTime:,      2022/05/09, 23:30:04, 1652164203,
PIF:,             48.98,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   122.11,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,
    1,        0.8,    185.245,      34.775,
    2,        3.3,    188.835,      38.155,
    3,        5.8,    189.076,      41.466,
    4,        8.3,    189.317,      45.096,
    5,       10.8,    189.608,      49.261,
    6,       13.3,    189.811,      53.415,
    7,       15.8,    189.989,      55.990,
    8,       18.3,    190.065,      61.397,
    9,       20.8,    190.154,      64.361,
   10,       23.3,    190.243,      68.020,
   11,       25.8,    190.306,      70.977,
   12,       28.3,    190.344,      72.901,
   13,       30.8,    190.509,      75.480,
   14,       33.3,    190.649,      77.353,
   15,       35.8,    190.649,      76.766,
   16,       38.3,    190.776,      80.263,
   17,       40.8,    190.788,      79.880,
   18,       43.3,    190.826,      81.443,
   19,       45.8,    190.852,      82.472,
   20,       48.3,    190.953,      83.177,
   21,       50.8,    190.928,      83.142,
   22,       53.3,    191.067,      83.642,
   23,       55.8,    191.055,      83.975,
   24,       58.3,    191.067,      85.525,
   25,       60.8,    191.143,      84.467,
   26,       63.3,    191.169,      84.933,
   27,       65.8,    191.270,      84.967,
   28,       68.3,    191.220,      85.290,
   29,       70.8,    191.296,      85.259,
   30,       73.3,    191.207,      84.216,
   31,       75.8,    191.334,      84.385,
   32,       78.3,    191.372,      85.907,
   33,       80.8,    191.372,      85.023,
   34,       83.3,    191.435,      86.587,
   35,       85.8,    191.422,      86.036,
   36,       88.3,    191.486,      86.914,
   37,       90.8,    191.473,      87.248,
   38,       93.3,    191.524,      86.551,
   39,       95.8,    191.499,      86.711,
   40,       98.3,    191.524,      86.525,
   41,      100.8,    191.625,      85.989,
   42,      103.3,    191.562,      86.858,
   43,      105.8,    191.575,      86.841,
   44,      108.3,    191.664,      87.360,
   45,      110.8,    191.702,      87.702,
   46,      113.3,    191.651,      88.236,
   47,      115.8,    191.664,      87.153,
   48,      118.3,    191.689,      86.970,
   49,      120.8,    191.664,      86.100,
   50,      123.3,    191.714,      86.950,
   51,      125.8,    191.702,      87.140,
   52,      128.3,    191.714,      89.207,
   53,      130.8,    191.752,      87.806,
   54,      133.3,    191.752,      88.328,
   55,      135.8,    191.790,      87.807,
   56,      138.3,    191.816,      88.324,
   57,      140.8,    191.765,      87.456,
   58,      143.3,    191.752,      87.971,
   59,      145.8,    191.790,      87.419,
   60,      148.3,    191.790,      87.079,
   61,      150.8,    191.803,      87.077,
   62,      153.3,    191.790,      87.086,
   63,      155.8,    191.803,      87.068,
   64,      158.3,    191.841,      87.757,
   65,      160.8,    191.803,      87.414,
   66,      163.3,    191.841,      87.397,
   67,      165.8,    191.841,      86.361,
   68,      168.3,    191.816,      87.377,
   69,      170.8,    191.879,      88.608,
   70,      173.3,    191.866,      87.584,
   71,      175.8,    191.816,      88.614,
   72,      178.3,    191.879,      87.753,
   73,      180.8,    191.828,      88.453,
   74,      183.3,    191.892,      88.968,
   75,      185.8,    191.866,      88.947,
   76,      188.3,    191.841,      88.775,
   77,      190.8,    191.816,      87.220,
   78,      193.3,    191.917,      87.546,
   79,      195.8,    191.879,      88.223,
   80,      198.3,    191.917,      87.183,
   81,      200.8,    191.905,      88.411,
   82,      203.3,    191.905,      86.855,
   83,      205.8,    191.930,      87.715,
   84,      208.3,    191.892,      88.234,
   85,      210.8,    191.854,      87.192,
   86,      213.3,    191.905,      88.052,
   87,      215.8,    191.930,      86.847,
   88,      218.3,    191.892,      88.932,
   89,      220.8,    191.879,      88.764,
   90,      223.3,    191.892,      88.237,
   91,      225.8,    191.968,      88.049,
   92,      228.3,    191.917,      88.772,
   93,      230.8,    191.866,      87.023,
   94,      233.3,    191.892,      88.067,
   95,      235.8,    191.930,      86.495,
   96,      238.3,    191.879,      87.370,
   97,      240.8,    191.905,      88.578,
   98,      243.3,    191.879,      89.274,
   99,      245.8,    191.879,      87.904,
  100,      250.8,    191.017,      89.351,
  101,      273.3,    189.139,      90.039,
  102,      295.8,    188.912,      89.688,
  103,      318.3,    188.737,      88.377,
  104,      343.3,    188.589,      86.031,
  105,      368.3,    188.449,      83.978,
  106,      395.8,    188.334,      83.183,
  107,      423.3,    188.258,      83.178,
  108,      453.3,    188.118,      81.294,
  109,      483.3,    188.093,      80.648,
  110,      515.8,    188.031,      80.364,
  111,      550.8,    187.829,      79.359,
  112,      585.8,    187.867,      78.871,
  113,      623.3,    187.765,      78.224,
  114,      663.3,    187.638,      77.405,
  115,      705.8,    187.512,      76.929,
  116,      748.3,    187.487,      77.463,
  117,      793.3,    187.424,      76.452,
  118,      840.8,    187.361,      77.200,
  119,      890.8,    187.336,      75.621,
  120,      943.3,    187.285,      74.083,
  121,      998.3,    187.185,      74.253,
  122,     1055.8,    187.172,      71.986,
  123,     1115.8,    187.160,      72.949,
  124,     1178.3,    187.136,      72.681,
  125,     1245.8,    187.111,      72.006,
  126,     1315.8,    187.035,      73.840,
  127,     1388.3,    187.022,      71.519,
  128,     1465.8,    187.021,      70.117,
  129,     1545.8,    186.920,      70.320,
  130,     1630.8,    186.931,      68.389,
  131,     1720.8,    186.906,      68.782,
  132,     1815.8,    186.895,      69.719,
  133,     1913.3,    186.793,      68.145,
  134,     2015.8,    186.819,      68.314,
  135,     2123.3,    186.805,      64.596,
  136,     2238.3,    186.768,      67.068,
  137,     2358.3,    186.729,      64.402,
  138,     2483.3,    186.830,      65.319,
  139,     2615.8,    186.729,      64.820,
  140,     2753.3,    186.792,      64.318,
  141,     2898.3,    186.804,      64.166,
  142,     3050.8,    186.778,      64.670,
  143,     3210.8,    186.738,      62.167,
  144,     3378.3,    186.711,      62.152,
  145,     3555.8,    186.749,      61.996,
  146,     3740.8,    186.687,      61.807,
  147,     3935.8,    186.647,      60.117,
  148,     4140.8,    186.687,      60.487,
  149,     4355.8,    186.598,      59.548,
  150,     4580.8,    186.674,      57.211,
  151,     4818.3,    186.737,      59.552,
  152,     5068.3,    186.736,      57.366,
  153,     5330.8,    186.683,      56.857,
  154,     5605.8,    186.594,      57.558,
  155,     5895.8,    186.695,      57.018,
  156,     6200.8,    186.655,      55.965,
  157,     6520.8,    186.603,      55.944,
  158,     6855.8,    186.654,      54.552,
  159,     7208.3,    186.566,      54.873,
  160,     7578.3,    186.628,      56.126,
  161,     7965.8,    186.563,      53.921,
  162,     8373.3,    186.515,      50.692,
  163,     8800.8,    186.506,      53.384,
  164,     9250.8,    186.473,      52.707,
  165,     9723.3,    186.547,      52.147,
  166,    10220.8,    186.479,      51.083,
  167,    10743.3,    186.480,      52.135,
  168,    11290.8,    186.516,      51.468,
  169,    11865.8,    186.437,      51.940,
  170,    12470.8,    186.447,      48.524,
  171,    13105.8,    186.451,      49.739,
  172,    13773.3,    186.425,      49.115,
  173,    14475.8,    186.400,      49.851,
  174,    15213.3,    186.298,      46.720,
  175,    15988.3,    186.311,      47.620,
  176,    16800.8,    186.325,      47.314,
  177,    17655.8,    186.329,      46.915,
  178,    18553.3,    186.304,      45.041,
  179,    19495.8,    186.318,      46.357,
  180,    20485.8,    186.295,      44.794,
  181,    21525.8,    186.356,      44.493,
  182,    22618.3,    186.277,      43.176,
  183,    23768.3,    186.221,      43.363,
  184,    24975.8,    186.185,      41.270,
  185,    26243.3,    186.279,      42.279,
  186,    27575.8,    186.192,      42.830,
  187,    28975.8,    186.138,      42.098,
  188,    30445.8,    186.162,      42.820,
  189,    31990.8,    186.118,      41.886,
  190,    33613.3,    186.049,      42.071,
  191,    35318.3,    186.135,      39.660,
  192,    37108.3,    186.042,      40.685,
  193,    38990.8,    186.138,      39.082,
  194,    40968.3,    186.109,      41.781,
  195,    43045.8,    186.039,      39.097,
  196,    45228.3,    186.069,      40.569,
  197,    47520.8,    186.088,      41.165,
  198,    49928.3,    186.050,      40.009,
  199,    52458.3,    185.991,      38.574,
  200,    55115.8,    185.982,      39.187,
  201,    57908.3,    186.015,      39.752,
  202,    60843.3,    185.933,      39.456,
  203,    63925.8,    186.036,      38.703,
  204,    67163.3,    185.887,      39.083,
  205,    70565.8,    186.001,      39.489,
  206,    74140.8,    186.019,      38.821,
  207,    77895.8,    185.893,      37.811,
  208,    81840.8,    185.956,      38.600,
  209,    85985.8,    185.859,      38.805,
  210,    90340.8,    185.848,      39.134,
  211,    94915.8,    185.861,      38.627,
  212,    99723.3,    185.877,      38.929,
  213,   104773.3,    185.888,      37.277,
  214,   110078.3,    185.890,      38.661,
  215,   115653.3,    185.773,      37.821,
  216,   121508.3,    185.828,      37.787,
  217,   127660.8,    185.747,      37.734,
  218,   134125.8,    185.764,      38.559,
  219,   140915.8,    185.831,      37.512,
  220,   148050.8,    185.758,      37.330,
  221,   155545.8,    185.775,      37.700,
  222,   163420.8,    185.796,      34.459,
  223,   171695.8,    185.714,      37.730,
  224,   180388.3,    185.741,      36.250,
  225,   189520.8,    185.767,      37.226,
  226,   199115.8,    185.685,      38.911,
  227,   209195.8,    185.688,      37.325,
  228,   219785.8,    185.726,      38.843,
  229,   219825.8,    186.549,      42.010,
  230,   219865.8,    186.563,      43.608,
  231,   219905.8,    186.729,      47.376,
  232,   219945.8,    186.819,      50.388,
  233,   219985.8,    186.858,      51.995,
  234,   220025.8,    186.933,      52.309,
  235,   220065.8,    187.021,      54.781,
  236,   220105.8,    186.957,      57.078,
  237,   220145.8,    187.071,      57.954,
  238,   220185.8,    187.210,      61.336,
  239,   220225.8,    187.210,      61.517,
  240,   220265.8,    187.274,      62.265,
  241,   220305.8,    187.276,      62.306,
  242,   220345.8,    187.251,      64.087,
  243,   220385.8,    187.227,      62.789,
  244,   220425.8,    187.239,      64.751,
  245,   220465.8,    187.289,      66.538,
  246,   220505.8,    187.364,      65.270,
  247,   220545.8,    187.390,      65.921,
  248,   220585.8,    187.428,      66.845,
  249,   220625.8,    187.429,      66.132,
  250,   220665.8,    187.418,      67.926,
  251,   220705.8,    187.368,      66.726,
  252,   220745.8,    187.471,      68.509,
  253,   220785.8,    187.446,      68.861,
  254,   220825.8,    187.446,      67.783,
  255,   220865.8,    187.472,      67.240,
  256,   220905.8,    187.472,      68.848,
  257,   220945.8,    187.499,      70.063,
  258,   220985.8,    187.447,      68.986,
  259,   221025.8,    187.460,      68.995,
  260,   221065.8,    187.460,      69.729,
  261,   221105.8,    187.486,      70.278,
  262,   221145.8,    187.461,      71.348,
