----,
DateTime:,      2022/05/19, 05:26:04, 1652963163,
PIF:,             50.35,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,    88.75,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    185.298,      29.873,      0.000,
    2,        3.3,    188.796,      33.137,      0.000,
    3,        5.8,    189.011,      36.336,      0.000,
    4,        8.3,    189.326,      38.041,      0.000,
    5,       10.8,    189.491,      41.694,      0.000,
    6,       13.3,    189.743,      45.851,      0.000,
    7,       15.8,    189.857,      50.038,      0.000,
    8,       18.3,    189.970,      53.688,      0.000,
    9,       20.8,    190.084,      55.069,      0.000,
   10,       23.3,    190.198,      59.439,      0.000,
   11,       25.8,    190.198,      62.061,      0.000,
   12,       28.3,    190.324,      63.081,      0.000,
   13,       30.8,    190.337,      66.726,      0.000,
   14,       33.3,    190.463,      66.697,      0.000,
   15,       35.8,    190.615,      68.587,      0.000,
   16,       38.3,    190.716,      70.991,      0.000,
   17,       40.8,    190.703,      70.277,      0.000,
   18,       43.3,    190.728,      72.039,      0.000,
   19,       45.8,    190.779,      72.358,      0.000,
   20,       48.3,    190.855,      74.448,      0.000,
   21,       50.8,    190.829,      73.371,      0.000,
   22,       53.3,    190.930,      74.238,      0.000,
   23,       55.8,    190.981,      75.427,      0.000,
   24,       58.3,    191.006,      75.932,      0.000,
   25,       60.8,    191.044,      76.094,      0.000,
   26,       63.3,    191.132,      75.901,      0.000,
   27,       65.8,    191.120,      75.715,      0.000,
   28,       68.3,    191.183,      75.712,      0.000,
   29,       70.8,    191.208,      75.882,      0.000,
   30,       73.3,    191.233,      76.035,      0.000,
   31,       75.8,    191.233,      76.196,      0.000,
