----,
DateTime:,      2022/05/18, 21:36:45, 1652935004,
PIF:,             35.49,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   257.03,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    185.122,      66.255,      0.000,
    2,        3.3,    188.757,      72.435,      0.000,
    3,        5.8,    188.985,      78.488,      0.000,
    4,        8.3,    189.251,      86.149,      0.000,
    5,       10.8,    189.504,      93.412,      0.000,
    6,       13.3,    189.694,     100.491,      0.000,
    7,       15.8,    189.922,     106.024,      0.000,
    8,       18.3,    190.074,     114.704,      0.000,
    9,       20.8,    190.023,     122.062,      0.000,
   10,       23.3,    190.150,     124.821,      0.000,
   11,       25.8,    190.213,     131.797,      0.000,
   12,       28.3,    190.175,     134.744,      0.000,
   13,       30.8,    190.327,     139.747,      0.000,
   14,       33.3,    190.454,     142.636,      0.000,
   15,       35.8,    190.567,     145.002,      0.000,
   16,       38.3,    190.593,     148.770,      0.000,
   17,       40.8,    190.707,     149.596,      0.000,
   18,       43.3,    190.681,     153.583,      0.000,
   19,       45.8,    190.745,     155.332,      0.000,
   20,       48.3,    190.795,     154.947,      0.000,
   21,       50.8,    190.808,     155.246,      0.000,
   22,       53.3,    190.859,     156.639,      0.000,
   23,       55.8,    190.985,     156.912,      0.000,
   24,       58.3,    190.973,     158.313,      0.000,
   25,       60.8,    190.985,     156.124,      0.000,
   26,       63.3,    191.099,     157.328,      0.000,
   27,       65.8,    191.112,     158.181,      0.000,
   28,       68.3,    191.137,     159.056,      0.000,
   29,       70.8,    191.188,     159.533,      0.000,
   30,       73.3,    191.251,     160.049,      0.000,
   31,       75.8,    191.226,     158.607,      0.000,
