----,
DateTime:,      2022/05/18, 15:20:56, 1652912456,
PIF:,             28.94,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   140.18,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    185.125,      40.903,      0.000,
    2,        3.3,    188.759,      43.677,      0.000,
    3,        5.8,    188.975,      46.392,      0.000,
    4,        8.3,    189.304,      48.449,      0.000,
    5,       10.8,    189.494,      53.845,      0.000,
    6,       13.3,    189.760,      55.711,      0.000,
    7,       15.8,    189.874,      59.867,      0.000,
    8,       18.3,    190.013,      63.694,      0.000,
    9,       20.8,    190.089,      67.543,      0.000,
   10,       23.3,    190.178,      71.361,      0.000,
   11,       25.8,    190.216,      74.480,      0.000,
   12,       28.3,    190.279,      76.902,      0.000,
   13,       30.8,    190.431,      79.309,      0.000,
   14,       33.3,    190.507,      84.164,      0.000,
   15,       35.8,    190.621,      83.969,      0.000,
   16,       38.3,    190.747,      86.726,      0.000,
   17,       40.8,    190.785,      86.870,      0.000,
   18,       43.3,    190.823,      89.141,      0.000,
   19,       45.8,    190.836,      90.335,      0.000,
   20,       48.3,    190.874,      91.724,      0.000,
   21,       50.8,    190.874,      91.698,      0.000,
   22,       53.3,    191.001,      92.541,      0.000,
   23,       55.8,    191.013,      93.919,      0.000,
   24,       58.3,    190.988,      94.419,      0.000,
   25,       60.8,    191.077,      95.084,      0.000,
   26,       63.3,    191.102,      95.252,      0.000,
   27,       65.8,    191.178,      95.245,      0.000,
   28,       68.3,    191.241,      94.675,      0.000,
   29,       70.8,    191.178,      95.734,      0.000,
   30,       73.3,    191.254,      97.622,      0.000,
   31,       75.8,    191.203,      96.216,      0.000,
