----,
DateTime:,      2022/05/18, 23:21:36, 1652941295,
PIF:,             40.89,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   172.42,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    185.208,      41.623,      0.000,
    2,        3.3,    188.818,      45.556,      0.000,
    3,        5.8,    189.021,      49.406,      0.000,
    4,        8.3,    189.338,      53.216,      0.000,
    5,       10.8,    189.503,      58.599,      0.000,
    6,       13.3,    189.769,      63.438,      0.000,
    7,       15.8,    189.946,      68.309,      0.000,
    8,       18.3,    190.060,      72.466,      0.000,
    9,       20.8,    190.111,      76.848,      0.000,
   10,       23.3,    190.174,      79.809,      0.000,
   11,       25.8,    190.225,      83.103,      0.000,
   12,       28.3,    190.326,      84.648,      0.000,
   13,       30.8,    190.389,      87.054,      0.000,
   14,       33.3,    190.579,      91.022,      0.000,
   15,       35.8,    190.655,      92.376,      0.000,
   16,       38.3,    190.757,      91.798,      0.000,
   17,       40.8,    190.732,      94.243,      0.000,
   18,       43.3,    190.719,      95.990,      0.000,
   19,       45.8,    190.846,      96.289,      0.000,
   20,       48.3,    190.871,      97.862,      0.000,
   21,       50.8,    190.934,      97.838,      0.000,
   22,       53.3,    190.960,      98.160,      0.000,
   23,       55.8,    191.036,      99.522,      0.000,
   24,       58.3,    191.023,      98.306,      0.000,
   25,       60.8,    191.099,      99.138,      0.000,
   26,       63.3,    191.086,      99.475,      0.000,
   27,       65.8,    191.175,      99.808,      0.000,
   28,       68.3,    191.188,      99.098,      0.000,
   29,       70.8,    191.276,      99.588,      0.000,
   30,       73.3,    191.276,      99.386,      0.000,
   31,       75.8,    191.365,      99.021,      0.000,
